Room Id,Room Number,Room Name,Level,,Room Id,Room Number,Room Name,Level
,,,,,101110,1110,Gym Entrance,11 Floor HPSB
,,,,,101111,1111,Reception Office,11 Floor HPSB
,,,,,101112,1112,General Storage,11 Floor HPSB
,,,,,101113,1113,Gym Back Entrance,11 Floor HPSB
,,,,,101114,1114,Consultation Clinic,11 Floor HPSB
,,,,,101115,1115,Male Gym Cr,11 Floor HPSB
,,,,,101116,1116,Female Gym Cr,11 Floor HPSB
,,,,,101117,1117,Equipment Storage,11 Floor HPSB
,,,,,101118,1118,Dance Studio,11 Floor HPSB
,,,,,101120,1120,Right Elevator,11 Floor HPSB
,,,,,101121,1121,Left Elevator,11 Floor HPSB
,,,,,,,,
,,,,,101201,1201,Locker Shower,12 Floor HPSB
,,,,,101202,1202,Locker Shower,12 Floor HPSB
,,,,,101203,1203,PE Department Room,12 Floor HPSB
,,,,,101204,1204,Basketball Court,12 Floor HPSB
,,,,,101205,1205,Equipment Storage,12 Floor HPSB
,,,,,101206,1206,Elevator Machine Room,12 Floor HPSB
,,,,,101207,1207,Left Elevator,12 Floor HPSB
,,,,,101208,1208,Volleyball Court,12 Floor HPSB
,,,,,101209,1209,Elec Room,12 Floor HPSB
,,,,,101210,1210,Janitors Closet,12 Floor HPSB
,,,,,101211,1211,Female Cr,12 Floor HPSB
,,,,,101212,1212,Male Cr,12 Floor HPSB
,,,,,101213,1213,Equipment Storage,12 Floor HPSB
