Room Id,Name,X,Y,Z
6,Room,29.4082099,-35.81497312,65.6167979
10630,Room,53.05695854,-21.28836215,65.6167979
10629,Room,42.15129383,-21.28836215,65.6167979
10701,Room,-28.43669368,-26.02959723,78.74015748
10702,Room,-7.20729071,7.367487178,78.74015748
10703,Room,14.8166255,7.367487178,78.74015748
10704,Room,36.6456398,7.367487178,78.74015748
10705,Room,58.47465409,7.367487178,78.74015748
10706,Room,80.10876648,7.367487178,78.74015748
10707,Room,102.1326827,7.367487178,78.74015748
10708,Room,122.4024817,-6.957803454,78.74015748
10709,Room,140.5283596,-6.957803454,78.74015748
10710,Room,122.6305001,-21.38054504,78.74015748
10711,Room,85.95582388,-21.38054504,78.74015748
10712,Room,145.7907113,7.367487178,78.74015748
10713,Room,166.9375689,7.367487178,78.74015748
10714,Room,167.05896,1.910233604,78.74015748
10715,Room,151.6377687,-21.38054504,78.74015748
10716,Room,53.01740052,-21.38054504,78.74015748
10717,Room,48.04740173,-21.38054504,78.74015748
10718,Room,-29.60763497,-17.36272608,78.74015748
10719,Room,-36.2714959,16.12915075,78.74015748
10720,Room,-48.57400839,25.99679098,78.74015748
10721,Room,-27.30091388,25.99679098,78.74015748
10722,Room,-39.44572033,-29.45445332,78.74015748
10723,Room,-50.72302345,-25.43663435,78.74015748
10724,Room,-54.88793653,-30.0474162,78.74015748
10725,Room,-73.05839506,-30.0474162,78.74015748
10726,Room,-102.2936821,-30.0474162,78.74015748
10727,Room,-112.0387777,-30.0474162,78.74015748
10728,Room,-130.8468124,-38.88031641,78.74015748
10729,Room,-134.9397526,-43.75286424,78.74015748
10730,Room,-145.269554,-36.93129727,78.74015748
10731,Room,-151.0191604,-21.38054504,78.74015748
10732,Room,-142.83328,-21.38054504,78.74015748
10733,Room,-103.3656426,-21.38054504,78.74015748
10734,Room,-82.12133403,-21.38054504,78.74015748
10735,Room,-70.9813449,-21.38054504,78.74015748
10736,Room,-17.70569901,-16.24037752,78.74015748
10737,Room,11.62169665,-16.24037752,78.74015748
13,Room,-166.4795981,-30.0474162,78.74015748
14,Room,166.9375689,-31.21835008,78.74015748
22207,Room,29.6593345,-35.01893739,78.74015748
11107,Room,-2.694383121,-8.122473341,78.74015748
10801,Room,-150.3133289,-21.34683058,91.86351706
10802,Room,-126.8149099,-21.34683058,91.86351706
10803,Room,-103.4618419,-21.34683058,91.86351706
10804,Room,-78.65526349,-21.34683058,91.86351706
10805,Room,-54.13938715,-21.34683058,91.86351706
10806,Room,-28.3153514,-29.77719122,91.86351706
10807,Room,-6.93889806,7.472295185,91.86351706
10808,Room,15.57474227,7.472295185,91.86351706
10809,Room,38.26058149,7.472295185,91.86351706
10810,Room,62.1821736,7.472295185,91.86351706
10811,Room,88.46877981,7.472295185,91.86351706
10812,Room,114.2467812,7.215978993,91.86351706
10819,Room,146.1575604,7.472295185,91.86351706
10820,Room,166.1561915,7.472295185,91.86351706
10821,Room,166.2775826,1.706582621,91.86351706
10822,Room,150.9877382,-21.08507212,91.86351706
10823,Room,12.45250635,-13.8101058,91.86351706
10824,Room,-18.0301529,-17.06725316,91.86351706
10825,Room,-40.66801014,-22.43938802,91.86351706
10826,Room,-29.57321872,-17.32901162,91.86351706
10827,Room,-35.84906033,16.00014185,91.86351706
10828,Room,-48.28867495,26.19838446,91.86351706
10829,Room,-27.33184672,26.19838446,91.86351706
10830,Room,-152.4004045,-33.79501018,91.86351706
15,Room,-166.4089796,-29.77719122,91.86351706
16,Room,166.9937723,-31.28593962,91.86351706
22208,Room,29.58643638,-35.43326883,91.86351706
11108,Room,-2.897099766,-7.407164744,91.86351706
10814,Room,122.8772216,-21.08507212,91.86351706
10815,Room,85.81269894,-21.08507212,91.86351706
10816,Room,53.39045248,-21.08507212,91.86351706
10817,Room,47.34812473,-21.08507212,91.86351706
10818,Room,18.30276064,9.77E-15,91.86351706
1,Room,-155.5275223,-36.68290762,0
2,Room,154.6439093,-34.1902268,0
3,Room,-155.2426481,-36.96093275,13.12335958
4,Room,154.5089707,-34.38791578,13.12335958
5,Room,-155.1476605,-36.44276654,26.24671916
6,Room,154.5296283,-34.30167265,26.24671916
7,Room,-155.1987259,-36.5397031,39.37007874
8,Room,154.5361933,-34.29863386,39.37007874
121801,Room,1.758341466,-59.52735118,0
121802,Room,57.97198926,-92.7394431,0
121803,Room,57.54695363,-295.6267171,0
121804,Room,-87.91322921,-240.9939614,0
121805,Room,293.6865339,-769.3872189,0
121806,Room,245.3909625,-377.0602308,0
121807,Room,266.2594193,-572.0312416,0
121808,Room,27.78140344,-1083.836852,0
121809,Room,-141.0912161,-538.0383981,0
121810,Room,-196.0043743,66.27867653,0
121811,Room,272.2107839,-1030.8618,0
121812,Room,354.2178568,-1013.51415,0
121813,Room,61.94720279,-75.49042545,39.37007874
11112,Room,-6.09782448,-8.726741757,144.3569554
22201,Room,18.77793996,-30.12237484,0
22202,Room,28.7615889,-47.98311097,13.12335958
22203,Room,28.74226634,-47.323067,26.24671916
22204,Room,19.01129105,-29.22786646,39.37007874
22212,Room,29.59958354,-35.33908534,144.3569554
121814,Room,238.2452459,-776.012267,0
10813,Room,140.3015593,7.472295185,91.86351706
101030,Room,151.4070786,-21.38441895,118.1102362
10738,Room,20.5019067,-2.66E-15,78.74015748
10631,Room,18.34461262,0,65.6167979
10521,Room,-35.12616533,23.5369742,52.49343832
10522,Room,11.00105864,0,52.49343832
10523,Room,165.086147,-2.788239578,52.49343832
121815,Room,-272.6958233,-815.7596877,0
10103,Room,-17.23088787,-15.33336544,0
10104,Room,11.80200365,-15.33336544,0
10202,Room,-17.09140256,-15.62302586,13.12335958
10203,Room,11.18989071,-15.62302586,13.12335958
10302,Room,-17.18776131,-15.67120524,26.24671916
10204,Room,12.29801635,-15.67120524,26.24671916
10402,Room,-17.38047881,-15.00252694,39.37007874
10403,Room,11.96076072,-15.71938461,39.37007874
10105,Room,155.3454453,-3.761307414,52.49343832
10106,Room,154.7293631,-2.317624626,65.6167979
10107,Room,154.8398684,-2.10758536,78.74015748
10108,Room,155.3919797,-2.311236342,91.86351706
10109,Room,154.1730415,-3.156537125,104.9868766
10110,Room,154.4884576,-2.583400204,118.1102362
